#period	period time	calc time
1	1991	1501
2	1749	1498
3	1747	2251
4	2491	4246
5	4496	1250
6	1251	1263
7	1267	1506
8	1736	1501
9	2000	1500
10	1998	1507
11	1750	1253
12	1256	1242
13	1489	1512
14	1514	1485
15	1734	1498
16	1748	1249
17	1498	1249
18	1498	1252
19	1499	1249
20	1498	1000
21	1499	1250
22	1499	1499
23	1749	1238
24	1491	1245
25	1497	1248
26	1250	1016
27	1506	1259
28	1498	999
29	1752	1246
30	1497	1252
31	1256	990
32	1244	1745
33	1996	1247
34	1746	1258
35	1500	1504
36	1507	1240
37	1490	1251
38	1495	1249
39	1498	1759
40	1764	989
41	1238	1499
42	1748	1255
43	1496	1252
44	1497	1256
45	1260	993
46	1491	1248
47	1498	1249
48	1498	1503
49	1506	1002
50	1494	1249
51	1499	999
52	1498	1249
53	1499	1004
54	1008	991
55	1489	1500
56	1750	1248
57	1498	1248
58	1499	1254
59	1498	1248
60	1499	1248
61	1497	1258
62	1501	1253
63	1256	984
64	1241	1254
65	1258	990
66	1490	1249
67	1499	1503
68	1507	991
69	1240	1249
70	1501	1251
71	1255	991
72	1240	1249
73	1501	1248
74	1497	1249
75	1499	1252
76	1496	1253
77	1257	1494
78	1498	1245
79	1494	1249
80	1498	1248
81	1497	1249
82	1494	1262
83	1501	1503
84	1752	1249
85	1496	1002
86	1252	1249
87	1497	1250
88	1500	1249
89	1498	1001
90	1250	1253
91	1257	1003
92	1241	1259
93	1264	997
94	1484	1248
95	1498	1503
96	1507	991
97	1240	1256
98	1260	1238
99	1487	1262
100	1267	982
101	1230	1501
102	1502	997
103	1246	1250
104	1251	997
105	1492	999
106	1253	1249
107	1498	750
108	1247	1251
109	1499	1503
110	1506	997
111	1245	1248
112	1498	1247
113	1499	1248
114	1498	999
115	1250	1248
116	1499	1501
117	1503	994
118	1243	1250
119	1499	1249
120	1499	1250
121	1499	750
122	1249	1248
123	1498	1505
124	1507	1241
125	1490	1249
126	1748	1255
127	1500	1249
128	1498	1249
129	1748	1249
130	1498	1503
131	1509	988
132	1237	1249
133	1499	1249
134	1499	1251
135	1500	749
136	1248	1249
137	1499	1499
138	1749	1249
139	1749	1250
140	1499	1499
141	1749	1250
142	1749	1252
143	1499	1502
144	1506	991
145	1240	1255
146	1498	1253
147	1502	1249
148	1749	1249
149	1499	1499
150	1749	1248
151	1748	1502
152	1506	993
153	1491	1252
154	1499	1499
155	1747	1251
156	1751	1248
157	1499	1503
158	1746	1251
159	1497	1002
160	1251	1246
161	1499	1246
162	1499	1249
163	1497	1250
164	1499	1515
165	1520	1232
166	1481	1503
167	1506	1492
168	1738	1252
169	1751	1246
170	1499	1499
171	1750	1248
172	1498	1249
173	1499	1251
174	1746	1252
175	1499	1499
176	1749	1249
177	1498	1248
178	1499	1248
179	1747	1260
180	1502	1499
181	1748	1249
182	1748	1250
183	1499	1249
184	1748	1250
185	1749	1249
186	1499	1249
187	1499	1561
188	1564	1436
189	1683	1498
190	1749	1248
191	1498	1249
192	1499	1248
193	1497	1249
194	1498	1259
195	1503	1247
196	1747	1248
197	1748	1250
198	1499	1249
199	1496	1252
200	1502	1249
201	1498	1250
202	1499	1249
203	1749	1253
204	1748	1248
205	1493	1254
206	1505	998
207	1247	1249
208	1498	998
209	1497	1250
210	1759	1243
211	1492	1248
212	1495	1018
213	1252	1253
214	1749	1249
215	1495	1252
216	1751	1249
217	1748	1250
218	1500	1252
219	1502	1246
220	1491	1253
221	1501	1256
222	1498	1252
223	1751	1247
224	1498	1000
225	1249	1264
226	1269	1232
227	1482	998
228	1497	1499
229	1750	1248
230	1498	1248
231	1497	1254
232	1257	991
233	1242	1248
234	1747	1250
235	1499	1002
236	1498	1251
237	1499	998
238	1247	1253
239	1257	992
240	1242	1248
241	1497	1253
242	1257	1251
243	1495	1248
244	1497	1248
245	1498	999
246	1250	1253
247	1256	992
248	1241	1250
249	1499	1249
250	1499	1249
251	1749	1249
252	1499	1003
253	1249	1252
254	1256	992
255	1240	1250
256	1499	1249
257	1499	1248
258	1747	1249
259	1498	1011
260	1254	1501
261	1505	1242
262	1741	1249
263	1499	1248
264	1498	1248
265	1498	999
266	1248	1250
267	1499	1249
268	1748	1254
269	1498	1001
270	1498	1250
271	1500	1010
272	1499	1249
273	1498	1001
274	1247	1270
275	1499	1260
276	1749	1499
277	1750	1249
278	1498	1250
279	1498	1249
280	1498	1246
281	1499	1248
282	1497	1250
283	1748	1499
284	1750	1250
285	1498	1249
286	1498	749
287	1246	1251
288	1503	997
289	1246	1499
290	1749	1249
291	1502	1254
292	1499	999
293	1248	999
294	1250	1248
295	1499	998
296	1248	749
297	1499	1250
298	1494	1249
